corp_cd,corp_nm,mesu,mesu_price,jusu,rate,d_l,d_f,rate_juga
009470,삼화전기,206137,5977816150,6613820,0.031167616,31700,23800,0.3319327731092437
348950,제이알글로벌리츠,5138364,26171845990,165600000,0.031028768,5200,5220,-0.0038314176245210726
375500,DL이앤씨,508144,63595617000,19358738,0.026248818,127000,120500,0.05394190871369295
068290,삼성출판사,205401,11187437150,10000000,0.0205401,53000,46000,0.15217391304347827
001795,대한제당우,12734,402216900,648276,0.019642868,34250,25200,0.35912698412698413
002360,SH에너지화학,2116167,2061030967,111133730,0.019041627,1010,940,0.07446808510638298
316140,우리금융지주,13192180,1.36363E+11,722267683,0.018264946,10300,10100,0.019801980198019802
072130,유엔젤,237145,1016069185,13195454,0.01797172,4430,4100,0.08048780487804878
079980,휴비스,550121,5360710310,34500000,0.015945536,10700,8830,0.21177802944507362
133820,화인베스틸,441801,1170582785,29550000,0.014950964,2790,2635,0.058823529411764705
010820,퍼스텍,-673263,-1677937130,48061460,-0.014008376,2510,2655,-0.054613935969868174
005680,삼영전자,-300761,-3469402650,20000000,-0.01503805,11950,11000,0.08636363636363636
145270,케이탑리츠,-720213,-1364570340,46224127,-0.015580889,2415,1515,0.594059405940594
002320,한진,-236789,-9773003100,14947628,-0.015841243,40650,43000,-0.05465116279069768
023350,한국종합기술,-177783,-1669981990,10950000,-0.01623589,9500,7040,0.3494318181818182
004545,깨끗한나라우,-6343,-298865500,366160,-0.017323028,36400,39900,-0.08771929824561403
011000,진원생명과학,-833791,-12165348850,45189008,-0.018451191,13600,11700,0.1623931623931624
012510,더존비즈온,-693145,-61367823300,30280485,-0.022890816,87500,98200,-0.10896130346232179
004980,성신양회,-568401,-6110306200,24516073,-0.023184831,10900,10700,0.018691588785046728
000225,유유제약1우,-30151,-297883400,1133465,-0.026600733,8680,8980,-0.0334075723830735
